dataname,cdm_model,estimate_method,mean_all,mean_kfold,sd_kfold
cdm_ecpe,DINA,MAP,-0.011917960074041325,-0.021470105336975465,0.0020338308812651385
cdm_ecpe,DINA,mp,-0.002832340054407876,-0.006398976040104619,0.0010619453822685433
cdm_ecpe,GDINA,MAP,-0.006652104712169475,-0.02199847461599736,0.002408105326954735
cdm_ecpe,GDINA,mp,0.001609311994622703,-0.004957874398268907,8.246462436630761e-4
frac11q3,DINA,MAP,-0.02868040951930658,-0.014271558464880336,0.003919281104442926
frac11q3,DINA,mp,-0.022321328501594184,0.003647753043812032,0.007871289609576837
frac11q3,GDINA,MAP,0.011543631485022549,-0.033865471783828593,0.00832801149708314
frac11q3,GDINA,mp,0.016243248799749463,0.020813877661287315,0.005948273660050471
frac11q5,DINA,MAP,-8.245860371431488e-4,-0.01826548747968924,0.01737707247653972
frac11q5,DINA,mp,2.4478526724900664e-4,0.01677217791204426,0.005302533751811969
frac11q5,GDINA,MAP,0.03966144171539836,-0.3574887037126455,0.10500640923131396
frac11q5,GDINA,mp,0.04170711615632662,-0.005404699284772783,0.02649040664583753
frac15q5,DINA,MAP,-0.005908225413841566,-0.03588296393581142,0.024722652424646805
frac15q5,DINA,mp,8.129116434267648e-4,9.37189038763882e-4,0.00938078433584375
frac15q5,GDINA,MAP,0.02386291792514026,-0.1453470518630665,0.03363757116546031
frac15q5,GDINA,mp,0.02349041049847794,-0.005639308117610796,0.0062590576590240525
frac20,DINA,MAP,0.01851751307424512,-0.01677556144219892,0.007275462571537568
frac20,DINA,mp,0.02608482486453671,0.015615201639085509,0.0027473871484846157
frac20,GDINA,MAP,0.044911114884065836,-0.3442542553710628,0.10550201232907676
frac20,GDINA,mp,0.048899467129495826,-0.010797282620679177,0.006912972928792979
mcmi_mokken,DINA,MAP,-0.025321672807417393,-0.03705650832312262,0.001739747538964146
mcmi_mokken,DINA,mp,-0.016593928648263406,-0.023429540804665517,0.0024516198727977325
mcmi_mokken,GDINA,MAP,-0.013589020973713376,-0.03255586395818688,0.004627963836265571
mcmi_mokken,GDINA,mp,-0.004092041180319944,-0.016137970330482178,0.0024451684224465527
mental_health,DINA,MAP,0.006803981023601432,-0.008599775845722777,0.004216978024209442
mental_health,DINA,mp,0.012416533604924307,0.005933900018101378,0.0018584374939096485
mental_health,GDINA,MAP,0.008582684993762846,-0.004008177888780121,0.00227585567284645
mental_health,GDINA,mp,0.014855096309071994,0.008161712592693132,0.0019956420565653745
roar_pa,DINA,MAP,-0.0026812132111645177,-0.008093051447024775,0.002501822875789561
roar_pa,DINA,mp,4.6687603924848984e-4,-0.0013198908712001173,0.0025180505079015415
roar_pa,GDINA,MAP,-0.0026808748001381872,-0.006577077304954481,0.004904255709235491
roar_pa,GDINA,mp,4.667569319770633e-4,-3.3628369404037914e-4,0.004294901434485558
timss_2011,DINA,MAP,0.0042084885400819295,-0.08051366979928615,0.0182017781171776
timss_2011,DINA,mp,0.01611711688343995,-0.012744622998749011,0.005868913118717891
timss_2011,GDINA,MAP,0.024558937231587107,-0.1413057086039079,0.0217355247415884
timss_2011,GDINA,mp,0.028106831317865264,-0.010677947000316962,0.0040480140979018775
