mean_imv_1,sd_imv_1,mean_imv_2,sd_imv_2,mean_imv_3,sd_imv_3,dataname,sample_method
-0.037482925082106114,NA,-0.030331681518901716,NA,0.05818124126382721,NA,frac20,all
0.039716479652805496,NA,0.04902660708592831,NA,-0.06255373819018546,NA,mcmi_mokken,all
-0.02654866789747774,NA,-0.01759758028156249,NA,0.015029727055625962,NA,cdm_ecpe,all
-0.04252619680976435,NA,-0.031171782063409682,NA,0.048810406294281454,NA,timss_2011,all
0.1422949826599045,NA,0.14869891602908522,NA,-0.11864064684179629,NA,mental_health,all
-0.0217536406095047,NA,-0.01866575448016727,NA,0.01949654830325504,NA,roar_pa,all
-0.04331999252440378,NA,-0.036851799531992406,NA,0.0391058314360317,NA,frac15q5,all
-0.06201178220835565,NA,-0.05587091659722877,NA,0.0355349588159251,NA,frac11q3,all
-0.042638810554746054,NA,-0.04161419108390552,NA,0.043676540242698056,NA,frac11q5,all
-0.0019367053627895308,NA,0.0035711918710167176,NA,-0.009377601203915977,NA,prob_knowledge,all
-0.05522933136642197,NA,-0.05301586612877171,NA,0.06959997579582683,NA,rational_number,all
-0.016148599098456836,0.00453982659447988,0.007455533216161711,0.005121645269734797,0.008314480105126311,0.004271592526391356,frac20,kfold
-0.04897052196163711,0.001593587715510047,-0.034537563593432366,0.0011650824244689218,0.010326359506752342,0.0022931036020990346,mcmi_mokken,kfold
-0.020746404686551277,7.272546033611494e-4,-0.006518275781578534,8.56189604208611e-4,1.6478417523851458e-4,4.272530646015432e-4,cdm_ecpe,kfold
-0.0769435573437838,0.01906143919964889,-0.006841915647324637,0.0031433039516330784,-0.005865328263228418,0.0024636523052926204,timss_2011,kfold
-0.026315764047411483,0.00609352740171401,-0.013610277285203106,0.001712049977309363,0.019956902758549583,0.0015051573947999915,mental_health,kfold
-0.0096036332829491,0.002298379488648235,-0.004127385624560805,0.00226286128574585,0.0035305819910361135,0.001023272429169859,roar_pa,kfold
-0.031066374435231327,0.011666583120060818,0.002040880513402327,0.006862569971775498,0.0030419579084452254,0.0046501431600019984,frac15q5,kfold
-0.020097987715728273,0.015166907948148919,-0.0023598955063692897,0.014257940082678668,0.005080428986560394,0.006853014017812183,frac11q3,kfold
-0.0190799282464959,0.017435283296810274,0.017433000950919784,0.010312004007130785,-0.003906541156174136,0.003939189598368666,frac11q5,kfold
0.07577555870737894,0.12219472663265972,0.09044552330788955,0.12714084080318944,-0.0715257529635803,0.09205486472105455,prob_knowledge,kfold
-0.0628837743358206,0.02428015398593166,-0.005522212602817641,0.008985729258323364,0.021756614784758783,0.005881630589109258,rational_number,kfold
