imv_full,imv_mean,imv_sd,attribute,modeltype,estimate_method
0.12167057279479125,0.08291580374410898,0.012682905318266512,independent,DINA,MAP
0.1286557415142234,0.11804416723033638,0.011870346963943467,independent,DINA,mp
0.07273080821747116,0.05594496634253549,0.01492293801360394,higher.order,DINA,MAP
0.0780194248931587,0.08339651230659573,0.0055421556771648485,higher.order,DINA,mp
0.03365355126755507,0.03480537977924197,0.009519734352487276,linear,DINA,MAP
0.03605353773796575,0.050579921721304814,0.011068796264768976,linear,DINA,mp
0.04495589008454495,0.04719570681003276,0.0074337457529665245,converg,DINA,MAP
0.04872997872818761,0.057867552779399554,0.0063759289890805105,converg,DINA,mp
0.07616909762631495,0.08005017485652022,0.009809715250311412,diverg,DINA,MAP
0.07960223633482727,0.09140971304647665,0.011975578000851084,diverg,DINA,mp
0.0992829072145207,0.22036585397850086,0.25742979379072106,unstructured,DINA,MAP
0.10465029798552115,0.1242236990424654,0.013265806542169323,unstructured,DINA,mp
0.16420908615672694,0.0726376666626811,0.03692531183640434,independent,GDINA,MAP
0.1758773947683381,0.15944533885109832,0.007492513923664386,independent,GDINA,mp
0.07712926221825397,0.007948258995300777,0.020692189679708147,higher.order,GDINA,MAP
0.08601336347958019,0.06488811812827953,0.01044409765863665,higher.order,GDINA,mp
0.035614474954939156,0.027245048353771242,0.01051582487669215,linear,GDINA,MAP
0.04097325545213518,0.04393576768406128,0.004630856441662418,linear,GDINA,mp
0.030326090341107143,0.01634836350756215,0.007837884604325274,converg,GDINA,MAP
0.03486211816514163,0.034727838923343274,0.0022565835453398414,converg,GDINA,mp
0.06715875877664348,0.03098384377703235,0.011975309194237109,diverg,GDINA,MAP
0.07431815717955743,0.06202183969842393,0.0091120800739416,diverg,GDINA,mp
0.11769049496296441,0.0688433312671691,0.018734616647311818,unstructured,GDINA,MAP
0.12733444678183675,0.11747427514625472,0.007215427333823144,unstructured,GDINA,mp
