imv_full,imv_mean,imv_sd,estmethod,attribute,modeltype,rep
0.026220786786641456,0.014293781804645434,0.0067589992159200404,MAP,linear,GDINA,1
0.031197254764095225,0.03453717325156397,0.00646462052738643,mp,linear,GDINA,1
0.027301056541552845,0.012037470045809994,0.011623711622693827,MAP,linear,GDINA,2
0.031846593724393135,0.03197000977814375,0.0050247616381999234,mp,linear,GDINA,2
NA,NA,NA,MAP,linear,GDINA,3
0.026793315536248138,0.034663228192534964,0.00614105326643419,mp,linear,GDINA,3
0.027209456436237466,0.025373059186525746,0.006682705410724156,MAP,linear,GDINA,4
0.03068060264521626,0.038641125910138095,0.005259018458491396,mp,linear,GDINA,4
0.031083449948694854,0.023868686174390665,0.006764262000249895,MAP,linear,GDINA,5
0.03501089503547067,0.03791831343045761,0.008393926621795549,mp,linear,GDINA,5
NA,NA,NA,MAP,linear,GDINA,6
NA,NA,NA,mp,linear,GDINA,6
0.026524935846011267,0.017558963824875717,0.013059318211275863,MAP,linear,GDINA,7
0.0303413707781895,0.03135552584134455,0.007118563641999205,mp,linear,GDINA,7
0.0390901644494872,0.016650152364776905,0.014324972603907884,MAP,linear,GDINA,8
0.04387299602635901,0.0421074508551287,0.005598086251089451,mp,linear,GDINA,8
NA,NA,NA,MAP,linear,GDINA,9
NA,NA,NA,mp,linear,GDINA,9
0.03096448568992579,0.02104216815491627,0.0067470823570182316,MAP,linear,GDINA,10
0.03535292995155724,0.03848199176074453,0.0028868882061922957,mp,linear,GDINA,10
NA,NA,NA,MAP,independent,GDINA,1
NA,NA,NA,mp,independent,GDINA,1
0.16564573291083648,0.07635033806761814,0.025879235376324895,MAP,independent,GDINA,2
0.17829759380863125,0.16114857735733712,0.0135202270746506,mp,independent,GDINA,2
0.17893605376888402,0.11209268462523546,0.01850303083299451,MAP,independent,GDINA,3
0.19207906589213858,0.17861073966687105,0.00988031992213607,mp,independent,GDINA,3
0.16309092100434205,0.09689490463499734,0.0161600897078147,MAP,independent,GDINA,4
0.17479714918096267,0.16205513570325605,0.017412132135520248,mp,independent,GDINA,4
NA,NA,NA,MAP,independent,GDINA,5
NA,NA,NA,mp,independent,GDINA,5
0.18029885603457171,0.08772310690077499,0.019049228838527728,MAP,independent,GDINA,6
0.19117314762555412,0.18203082279872335,0.008283508867234377,mp,independent,GDINA,6
0.1818071872529281,0.119660450267519,0.02866787749271249,MAP,independent,GDINA,7
0.19537382895912483,0.18554186282174426,0.027834217879055226,mp,independent,GDINA,7
0.16919713134504524,0.12404095478377117,0.023899715261956268,MAP,independent,GDINA,8
0.18077128205964876,0.17438393429753682,0.019268082596575645,mp,independent,GDINA,8
NA,NA,NA,MAP,independent,GDINA,9
NA,NA,NA,mp,independent,GDINA,9
0.16988090956185073,0.10253946876601688,0.019398317391393687,MAP,independent,GDINA,10
0.1783847061572964,0.18627015186330348,0.030161206387166687,mp,independent,GDINA,10
0.07498710495329558,0.05638114786739855,0.016419062558030842,MAP,mvnorm,GDINA,1
0.08022870255744274,0.07924103471840221,0.004889463916686962,mp,mvnorm,GDINA,1
0.06876828017959603,0.03388168143252476,0.013733311290365898,MAP,mvnorm,GDINA,2
0.07704310113890551,0.06031310451136462,0.004736900427376334,mp,mvnorm,GDINA,2
0.0734394881055387,0.020271224645354628,0.016147190736503787,MAP,mvnorm,GDINA,3
0.0810505818368817,0.06907177705596818,0.008458558695739377,mp,mvnorm,GDINA,3
0.06354243861431576,-0.008795849733114649,0.017441750638083776,MAP,mvnorm,GDINA,4
0.07171032300885753,0.050360133674816794,0.007261212337950475,mp,mvnorm,GDINA,4
0.06662822173467622,0.034547455687447035,0.006866120070519603,MAP,mvnorm,GDINA,5
0.0743471761064698,0.057148831716903825,0.010835877842503597,mp,mvnorm,GDINA,5
0.06289615006770215,0.024441727038199402,0.0107996500958359,MAP,mvnorm,GDINA,6
0.07059437437806504,0.0521130741062193,0.011626269192337361,mp,mvnorm,GDINA,6
0.05755900772610789,0.03385182171255711,0.01472844662156957,MAP,mvnorm,GDINA,7
0.06554391170774958,0.052610401069201146,0.004380888251842566,mp,mvnorm,GDINA,7
0.06199875231158492,0.02476929774417105,0.00828988167267396,MAP,mvnorm,GDINA,8
0.0691446451040985,0.05218604856131116,0.005381338725908445,mp,mvnorm,GDINA,8
0.07368266860103695,0.032088855696462845,0.010869714360724538,MAP,mvnorm,GDINA,9
0.08318098396298192,0.06505163893713332,0.008014533584319054,mp,mvnorm,GDINA,9
0.06741981919387377,0.028281475142526297,0.01765290971831791,MAP,mvnorm,GDINA,10
0.07608634604578139,0.06186425802477254,0.006892482911025251,mp,mvnorm,GDINA,10
0.07530310960400007,0.032007685208355355,0.013349618520658326,MAP,higher.order,GDINA,1
0.08309957301730529,0.062052892261311006,0.0041927748046376775,mp,higher.order,GDINA,1
0.08346699436444051,0.005104656289642859,0.02228184381974478,MAP,higher.order,GDINA,2
0.09318364122850041,0.069979985440451975,0.007936756368088969,mp,higher.order,GDINA,2
0.08257547316118412,0.05007926839522274,0.010838206978683233,MAP,higher.order,GDINA,3
0.08920117075326253,0.07607803075260876,0.010852717249519127,mp,higher.order,GDINA,3
0.08160718045036623,0.03658949939711262,0.008096910597833816,MAP,higher.order,GDINA,4
0.09016108014324213,0.07351975177804622,0.007683439109028695,mp,higher.order,GDINA,4
0.0907021804118732,0.04196311400952981,0.010363388980248378,MAP,higher.order,GDINA,5
0.09952065564115217,0.08370521364469337,0.006175224104045394,mp,higher.order,GDINA,5
0.09621949756782563,0.05286336225342135,0.017484751425367265,MAP,higher.order,GDINA,6
0.104558403699594,0.08755019233766731,0.0134972824435903,mp,higher.order,GDINA,6
NA,NA,NA,MAP,higher.order,GDINA,7
NA,NA,NA,mp,higher.order,GDINA,7
0.08404193270003775,0.052656383788126905,0.016482325327350097,MAP,higher.order,GDINA,8
0.09180253694284377,0.07530211250412544,0.008424848283007163,mp,higher.order,GDINA,8
0.08442016044274923,0.011976184636375373,0.019027842539811834,MAP,higher.order,GDINA,9
0.09290533351722824,0.07552004453808903,0.01334152166930184,mp,higher.order,GDINA,9
0.09398350065327807,0.04668336972637098,0.01679643393355376,MAP,higher.order,GDINA,10
0.10242102430567482,0.09295070715988095,0.009386772714815262,mp,higher.order,GDINA,10
0.03955699376930544,0.025926182886549604,0.014242069193412057,MAP,converg,GDINA,1
0.043149359225510345,0.04900743327069104,0.006091002988843738,mp,converg,GDINA,1
