imv_full,imv_mean,imv_sd,attribute,modeltype,estimate_method
0.13696216858733504,0.09926921578842517,0.006899753297358438,independent,DINA,MAP
0.14589919683227706,0.13465595063910943,0.010689748320015683,independent,DINA,mp
0.0690230716702541,0.050693648305008374,0.011770227307855527,mvnorm,DINA,MAP
0.07378596900613088,0.07419180414510122,0.0036925861229458604,mvnorm,DINA,mp
0.07668088502608336,0.04514906451293479,0.011161323935134625,higher.order,DINA,MAP
0.08190495418554092,0.07628435838332959,0.0033850249931327604,higher.order,DINA,mp
0.03225460803212746,0.04322036889766551,0.003777137336865097,linear,DINA,MAP
0.03524952531880821,0.05195346895499383,0.006268985851922661,linear,DINA,mp
0.0419770091558001,0.049238110376863015,0.002593906570546254,converg,DINA,MAP
0.04454270868206396,0.058560549400325033,0.004075418720226937,converg,DINA,mp
0.07300243215535644,0.07828231707684381,0.006931600234925232,diverg,DINA,MAP
0.07691002004067977,0.08967722128977149,0.004785953472119262,diverg,DINA,mp
0.11684477831288813,0.11315050632093399,0.008567798401014392,unstructured,DINA,MAP
0.12320358839156532,0.12834742697053772,0.004278189969131266,unstructured,DINA,mp
0.15994657917257754,0.10538011242863121,0.017239715793351925,independent,GDINA,MAP
0.1734956354832635,0.16257688398798434,0.00491642359518712,independent,GDINA,mp
0.06320002020432332,0.05433219005910184,0.0076993168669988185,mvnorm,GDINA,MAP
0.06901207333059814,0.06799683970138493,0.006458398530252373,mvnorm,GDINA,mp
0.09142948253810383,0.06079019574444372,0.007912015346653907,higher.order,GDINA,MAP
0.10078544013546542,0.0910248627787953,0.005443726870395496,higher.order,GDINA,mp
0.03380087102949628,0.03869199238322282,0.005373109544436097,linear,GDINA,MAP
0.03729117825265941,0.047516369010016726,0.003995318864874758,linear,GDINA,mp
0.03631642684156687,0.030887336921375644,0.010926357045267962,converg,GDINA,MAP
0.040625752201578866,0.04574597385531959,0.001605003969857427,converg,GDINA,mp
0.06692132474049983,0.05620810778843719,0.00689945399288777,diverg,GDINA,MAP
0.074061482422355,0.07227949778611975,0.006236888489807334,diverg,GDINA,mp
0.08091184686816759,0.049206004646575166,0.0054125113289944324,unstructured,GDINA,MAP
0.08668890139164336,0.0770455004228467,0.004398089214581802,unstructured,GDINA,mp
