imv_full,imv_mean,imv_sd,estmethod,attribute,modeltype,rep
0.036178288390348576,0.04198655758421329,0.007125117960954004,MAP,linear,DINA,1
0.03899112853420821,0.058569641207743627,0.008732789113013527,mp,linear,DINA,1
NA,NA,NA,MAP,linear,DINA,2
NA,NA,NA,mp,linear,DINA,2
NA,NA,NA,MAP,linear,DINA,3
NA,NA,NA,mp,linear,DINA,3
0.03181633905535934,0.03365608317671653,0.00884017502137024,MAP,linear,DINA,4
0.03436164597228705,0.04528790445949813,0.010147025525511428,mp,linear,DINA,4
0.028852823570629852,0.035316951802114006,0.0037154229655992394,MAP,linear,DINA,5
0.030555996727602976,0.04515167547960336,0.0044329837491584026,mp,linear,DINA,5
0.035382897284427804,0.04594881437913584,0.0120613095292561,MAP,linear,DINA,6
0.03737888738622452,0.05516282281457781,0.007891929689464405,mp,linear,DINA,6
NA,NA,NA,MAP,linear,DINA,7
NA,NA,NA,mp,linear,DINA,7
0.033747585640507075,0.04469634245473719,0.010950112996187537,MAP,linear,DINA,8
0.035841541529261646,0.05137321042958516,0.0029516362211289525,mp,linear,DINA,8
0.027103508768490953,0.03600093670472151,0.0052534636100717074,MAP,linear,DINA,9
0.03017432109318903,0.0435714549095094,0.00555585891417419,mp,linear,DINA,9
0.03369379901318632,0.04293597702682074,0.007874560371059571,MAP,linear,DINA,10
0.03603390662727767,0.05109622174457082,0.003481834509564424,mp,linear,DINA,10
0.14827525250237766,0.10630609574407549,0.024859152144523163,MAP,independent,DINA,1
0.15504323635660092,0.15488704482206264,0.017788182458185503,mp,independent,DINA,1
0.1366913234426296,0.10108131461312866,0.009703420997182683,MAP,independent,DINA,2
0.1431857303564801,0.14420714376639399,0.008903854513076142,mp,independent,DINA,2
0.13502287689274375,0.11307531227890627,0.009514665561582775,MAP,independent,DINA,3
NA,NA,NA,mp,independent,DINA,3
0.14006867147026691,0.11904101952137318,0.010093033399745783,MAP,independent,DINA,4
0.1470849222768759,0.14783688237764078,0.006320831218035167,mp,independent,DINA,4
0.1259229468633252,0.09249994127905137,0.009274827061442299,MAP,independent,DINA,5
0.13305235904310145,0.1205314197085373,0.0038223786644065324,mp,independent,DINA,5
0.13946768048448746,0.10666280272398049,0.013828756292980627,MAP,independent,DINA,6
0.14513364273656798,0.14785416020870124,0.018398025264605294,mp,independent,DINA,6
0.13739822689225412,0.10398422437819577,0.025965373541302662,MAP,independent,DINA,7
0.14767352791310676,0.1421310576416515,0.0073417819576723975,mp,independent,DINA,7
NA,NA,NA,MAP,independent,DINA,8
NA,NA,NA,mp,independent,DINA,8
0.14709785408004075,0.12171945566106109,0.015148290400089878,MAP,independent,DINA,9
0.1543552242599533,0.1521944871578499,0.006238028314550968,mp,independent,DINA,9
0.11491085976186681,0.03754279654551275,0.017946059200987536,MAP,independent,DINA,10
0.11964841876445433,0.10480089316260803,0.009213052424971219,mp,independent,DINA,10
0.07167763186563325,0.05704780504343891,0.015632536365281804,MAP,mvnorm,DINA,1
0.07751575630548832,0.08009164240602529,0.0043929396240376594,mp,mvnorm,DINA,1
0.06640787162855069,0.051587480533563594,0.0069774892182708475,MAP,mvnorm,DINA,2
0.07210658479843475,0.07210059898143331,0.009447007465812722,mp,mvnorm,DINA,2
0.06254158876154911,0.047332026406745276,0.006399565401571794,MAP,mvnorm,DINA,3
0.0669938306749403,0.06974596020628897,0.0035493217121529514,mp,mvnorm,DINA,3
0.05976814807156841,0.044402912126129436,0.0043141404682743,MAP,mvnorm,DINA,4
0.06307880004708115,0.06699276077758039,0.00689309648494199,mp,mvnorm,DINA,4
0.0723495913936605,0.06925529842953806,0.004949812645824554,MAP,mvnorm,DINA,5
0.07723654943226707,0.08699664170398823,0.004699900081275618,mp,mvnorm,DINA,5
0.08094952353006543,0.07352297899836703,0.009613956936846227,MAP,mvnorm,DINA,6
0.08432656917141239,0.09129450650142978,0.00927755497801971,mp,mvnorm,DINA,6
0.06450688889372813,0.04897942158662072,0.00374200898878248,MAP,mvnorm,DINA,7
0.06949059125065774,0.07259438722581356,0.006740347306289916,mp,mvnorm,DINA,7
0.06822559647765403,0.047440564402187024,0.010994602121064087,MAP,mvnorm,DINA,8
0.07404728955340095,0.0683781089140952,0.004368603845038755,mp,mvnorm,DINA,8
0.0659243233690279,0.0487401865768146,0.011220982705263794,MAP,mvnorm,DINA,9
0.07023428471344943,0.0728081643057818,0.005646041412030368,mp,mvnorm,DINA,9
0.06243407935651517,0.037585203249011455,0.013115519970664668,MAP,mvnorm,DINA,10
0.06823748071704971,0.06270507474008086,0.007187434035138374,mp,mvnorm,DINA,10
0.08373798871277476,0.057955628720672135,0.016389132266173088,MAP,higher.order,DINA,1
0.08875899202220683,0.08927165107623404,0.008716189119621036,mp,higher.order,DINA,1
NA,NA,NA,MAP,higher.order,DINA,2
NA,NA,NA,mp,higher.order,DINA,2
0.09256884177245168,0.06984015514792931,0.006340471521301413,MAP,higher.order,DINA,3
0.09693884863019318,0.09695067414522389,0.006858361761648455,mp,higher.order,DINA,3
